hash1, hash2, hash3, hash4, hash5, hash6, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 2, 0, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 2, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 5, 3, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 6, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 2, 0, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 2, 4, 
0, 0, 0, 0, 4, 4, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 2, 4, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 3, 8, 
0, 0, 0, 0, 5, 2, 
0, 0, 0, 0, 8, 1, 
0, 0, 0, 0, 12, 4, 
0, 0, 0, 0, 3, 2, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 8, 1, 
0, 0, 0, 0, 6, 4, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 3, 3, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 5, 0, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 5, 1, 
0, 0, 0, 0, 5, 2, 
0, 0, 0, 0, 8, 2, 
0, 0, 0, 0, 12, 1, 
0, 0, 0, 0, 4, 2, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 4, 2, 
0, 0, 0, 0, 3, 2, 
0, 0, 0, 0, 5, 1, 
0, 0, 0, 0, 7, 0, 
0, 0, 0, 0, 7, 0, 
0, 0, 0, 0, 6, 1, 
0, 0, 0, 0, 6, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 2, 5, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 4, 2, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 3, 1, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 2, 3, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 6, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 3, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 3, 4, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 0, 6, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 4, 1, 
0, 0, 0, 0, 2, 0, 
0, 0, 0, 0, 3, 3, 
0, 0, 0, 0, 4, 3, 
0, 0, 0, 0, 3, 2, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 2, 8, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 3, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 3, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 2, 5, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 3, 1, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 3, 2, 
0, 0, 0, 0, 2, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 6, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 8, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 2, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 6, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 6, 1, 
0, 0, 0, 0, 7, 6, 
0, 0, 0, 0, 13, 2, 
0, 0, 0, 0, 13, 0, 
0, 0, 0, 0, 8, 2, 
0, 0, 0, 0, 5, 3, 
0, 0, 0, 0, 6, 4, 
0, 0, 0, 0, 3, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 3, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 3, 5, 
0, 0, 0, 0, 3, 4, 
0, 0, 0, 0, 4, 1, 
0, 0, 0, 0, 4, 3, 
0, 0, 0, 0, 10, 0, 
0, 0, 0, 0, 4, 1, 
0, 0, 0, 0, 4, 1, 
0, 0, 0, 0, 5, 3, 
0, 0, 0, 0, 7, 2, 
0, 0, 0, 0, 8, 1, 
0, 0, 0, 0, 3, 2, 
0, 0, 0, 0, 9, 2, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 4, 2, 
0, 0, 0, 0, 6, 2, 
0, 0, 0, 0, 4, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 4, 1, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 2, 3, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 3, 0, 
0, 0, 0, 0, 4, 2, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 3, 3, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 3, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 3, 4, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 3, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 4, 2, 
0, 0, 0, 0, 3, 4, 
0, 0, 0, 0, 4, 4, 
0, 0, 0, 0, 5, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 3, 5, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 3, 0, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 2, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 4, 2, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 4, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 6, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 12, 2, 
0, 0, 0, 0, 17, 2, 
0, 0, 0, 0, 13, 1, 
0, 0, 0, 0, 11, 4, 
0, 0, 0, 0, 6, 2, 
0, 0, 0, 0, 10, 1, 
0, 0, 0, 0, 7, 0, 
0, 0, 0, 0, 9, 3, 
0, 0, 0, 0, 4, 2, 
0, 0, 0, 0, 6, 0, 
0, 0, 0, 0, 5, 1, 
0, 0, 0, 0, 2, 0, 
0, 0, 0, 0, 4, 1, 
0, 0, 0, 0, 4, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 6, 1, 
0, 0, 0, 0, 13, 2, 
0, 0, 0, 0, 9, 5, 
0, 0, 0, 0, 12, 4, 
0, 0, 0, 0, 14, 0, 
0, 0, 0, 0, 12, 2, 
0, 0, 0, 0, 9, 0, 
0, 0, 0, 0, 5, 2, 
0, 0, 0, 0, 11, 1, 
0, 0, 0, 0, 6, 2, 
0, 0, 0, 0, 5, 3, 
0, 0, 0, 0, 10, 2, 
0, 0, 0, 0, 11, 2, 
0, 0, 0, 0, 7, 2, 
0, 0, 0, 0, 8, 0, 
0, 0, 0, 0, 4, 3, 
0, 0, 0, 0, 8, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 3, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 2, 5, 
0, 0, 0, 0, 5, 4, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 4, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 3, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 2, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 5, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 2, 3, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 4, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 4, 1, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 2, 8, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 4, 2, 
0, 0, 0, 0, 7, 1, 
0, 0, 0, 0, 6, 2, 
0, 0, 0, 0, 5, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 3, 1, 
0, 0, 0, 0, 3, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 3, 2, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 5, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 3, 1, 
0, 0, 0, 0, 5, 1, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 6, 2, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 2, 4, 
0, 0, 0, 0, 2, 4, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 6, 1, 
0, 0, 0, 0, 4, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 3, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 2, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 2, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 2, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 6, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 6, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 6, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 7, 
0, 0, 0, 0, 1, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 7, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 7, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 2, 1, 
0, 0, 0, 0, 3, 5, 
0, 0, 0, 0, 6, 2, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 0, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 2, 2, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 1, 2, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 2, 6, 
0, 0, 0, 0, 3, 1, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 1, 0, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 4, 
0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 0, 2, 
0, 0, 0, 0, 0, 5, 
0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 1, 1, 
0, 0, 0, 0, 0, 3, 
0, 0, 0, 0, 3, 3, 
